ticker,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A,10084999291.0,3920519101.0,7268219567.0,9887814839.0,8383736599.0,9867532822.0,13611064168.0,13300336753.0,13639021312.0,14754111511.0,21683837723.0,21688560000.0
AA,,,,,,,,,,5138640000.0,9912080000.0,6703440000.0
AABA,31779300640.0,16973006000.0,23754741240.0,22693497560.0,20683208660.0,23937829400.0,43303596840.0,50717495080.0,31235829660.0,36730428810.0,67277354650.0,59591266030.0
AAC,,,,,,,,513865046.0,412863597.0,164479167.0,209496996.0,166510465.0
AAL,,1927166892.0,1366557267.0,3201204767.0,608556629.0,3234610973.0,6794927170.0,37996292784.0,28340737304.0,25563998368.0,25405265847.0,14672636440.0
AAMC,,,,,,,2182703490.0,878318143.0,37800305.0,93748157.0,128146925.0,81844510.0
AAME,,,,45591403.0,41023936.0,63179293.0,84192642.0,82508670.0,103166708.0,82279991.0,69604969.0,56679084.0
AAN,,,,1639654034.0,2082070910.0,2136800352.0,2212679057.0,2186706155.0,1610325632.0,2302925881.0,2817499499.0,3547871145.0
AAOI,,,,,,,149573975.0,170397702.0,283703706.0,415191032.0,761660951.0,461833146.0
AAON,,,309078507.0,443201393.0,479684362.0,493485691.0,1140832188.0,1204436573.0,1240180963.0,1745508192.0,1938590312.0,1684596884.0
AAP,,,3767884329.0,5508978629.0,5290309181.0,5299566563.0,8058449922.0,11619665441.0,11046922624.0,12447432891.0,7378274302.0,12266593680.0
AAPL,156114737396.0,68239505893.0,171780853974.0,266761236934.0,337961670784.0,450713809924.0,463547869721.0,607602383401.0,560469031154.0,600426798492.0,862942318770.0,1093263803190.0
AAT,,,,,925199060.0,1371684626.0,1598950916.0,2165093640.0,2221726580.0,2595408472.0,2396515211.0,2313901322.0
AAWW,,,812720500.0,1456493040.0,1015397460.0,1176651680.0,1054551050.0,1238761100.0,1034244120.0,1310008000.0,1516337100.0,1364404050.0
AAXN,,,271210012.0,293864896.0,304312320.0,489223620.0,859933760.0,1443160000.0,944691020.0,1297712640.0,1428297000.0,3337373730.0
AB,,,,1304255220.0,794692721.0,1106299285.0,1398934462.0,1835781223.0,1863460554.0,1929006441.0,2201812150.0,2848230000.0
ABAC,,,,56397688.0,12770100.0,9010000.0,24852000.0,38579000.0,29526560.0,24600360.0,23305000.0,15456000.0
ABBV,,,,,,,71655603891.0,92043121735.0,87539447092.0,95833928432.0,150823299199.0,142077360000.0
ABC,7250233704.0,5026960593.0,6666096789.0,8504246758.0,8792913207.0,9303370499.0,15507256002.0,18657802148.0,22433358924.0,16840047947.0,20021783349.0,19493108000.0
ABCB,,,93406878.0,209345620.0,232925494.0,287130538.0,495572929.0,653355564.0,1067158782.0,1491347573.0,1779702149.0,1676497500.0
ABCD,,,86216480.0,152467680.0,139348840.0,54828450.0,78086400.0,75755760.0,220917500.0,235612830.0,270333920.0,578200750.0
ABEO,,,,38770113.0,28775822.0,5802904.0,6368413.0,6703022.0,92727378.0,165870000.0,656190000.0,491634000.0
ABEOW,,,,38770113.0,28775822.0,5802904.0,6368413.0,6703022.0,92727378.0,165870000.0,656190000.0,491634000.0
ABG,,,379337000.0,613536000.0,702856000.0,1008945000.0,1671314000.0,2285192000.0,1780416000.0,1394420000.0,1344000000.0,1253472500.0
ABIO,,,,26965034.0,10038246.0,5069616.0,14497525.0,19549985.0,29245268.0,25935000.0,14040000.0,8309130.0
ABM,,775814360.0,873269020.0,1163572487.0,955659695.0,972014683.0,1457914081.0,1520955639.0,1543260149.0,2238490451.0,2152875238.0,2081157000.0
ABMD,,,,354368750.0,743786900.0,549225600.0,1115753240.0,1632165040.0,4057995720.0,5044683600.0,8596309290.0,18160576150.0
ABR,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1049593006.0
ABRpA,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1049593006.0
ABRpB,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1049593006.0
ABRpC,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1049593006.0
ABT,34522360992.0,33236839850.0,34034162056.0,30702433611.0,36937457431.0,44396472393.0,54321210680.0,63282131733.0,63591664390.0,54908263015.0,98433689433.0,123490399500.0
ABTX,,,,,,,,,247615500.0,465358950.0,494156250.0,530414600.0
ABUS,,,,,16978149.0,71031237.4,121962359.6,327287510.4,202307341.8,,,248826204.0
AC,,,,,,,,,756296351.0,817500427.0,813750596.0,966359600.0
ACAD,,,49468320.0,46464000.0,56357640.0,256289400.0,2142017850.0,3087624000.0,3597085000.0,3345440000.0,3691486000.0,2668150000.0
ACBI,,,,,,,,,220206000.0,478546920.0,454468696.0,413436410.0
ACC,,508454865.0,974197583.0,1408309887.0,2274364430.0,3148541054.0,2815057828.0,3774074685.0,4233041679.0,6017119692.0,5391051493.0,5448024094.0
ACCO,,,391150785.0,480454149.0,547981783.0,695401738.0,766511997.0,1033048782.0,777429437.0,1404913140.0,1333852175.0,1135080000.0
ACER,,,,25095386.0,20955221.0,6581439.0,24264877.0,20031137.0,16213866.0,23805000.0,51245000.0,192888000.0
ACET,,,,197856027.0,165452431.0,251994115.0,664219516.0,598492315.0,761497931.0,636438776.0,358352225.0,78883840.0
ACGL,,4541712545.0,4430886295.0,4624537358.0,5148525605.0,6086154445.0,8104540053.0,7973909230.0,8791202324.0,10761872471.0,12640782240.0,11282067009.0
ACGLO,,4541712545.0,4430886295.0,4624537358.0,5148525605.0,6086154445.0,8104540053.0,7973909230.0,8791202324.0,10761872471.0,12640782240.0,11282067009.0
ACHC,,,34780481.0,51401243.0,187007290.0,903551600.0,2378853130.0,3386565670.0,4271701860.0,2845673200.0,2840767800.0,3010176805.0
ACHN,,,82530070.0,187077850.0,489569760.0,592459650.0,311929577.0,1204995750.0,1366014000.0,564571000.0,398304000.0,449245500.0
ACHV,,,128485405.0,118048850.0,114222440.0,177418108.0,122459452.0,41446246.0,31638283.0,,6447840.0,3348000.0
ACIA,,,,,,,,,,1826873750.0,1510428700.0,1528038370.0
ACIW,,553240500.0,592601100.0,910086900.0,979344800.0,1743464013.0,2601170000.0,2355271070.0,2544866600.0,2157073050.0,2707795480.0,2952251400.0
ACLS,,,146056260.0,361646120.0,145100340.0,148514220.0,265640360.0,285306880.0,313172440.0,450278850.0,959613200.0,573280380.0
ACM,,3202526950.0,3016915000.0,3331646550.0,2357136870.0,2511804400.0,2872073700.0,4309260040.0,4613178570.0,5744625480.0,6012616050.0,5059603000.0
ACMR,,,,,,,,,,,36043298.0,184277685.0
ACN,,22163949144.0,26865255605.0,30703339797.0,33782780659.0,42331209970.0,52213753571.0,56813646942.0,66812980294.0,75528867178.0,99636855411.0,104729458160.0
ACNB,,,53461954.0,68656690.0,63785978.0,78699780.0,92154372.0,115932728.0,118484307.0,180024761.0,189384742.0,255379103.0
ACOR,,696088480.0,950922000.0,1045557300.0,955125760.0,1002653520.0,1217114400.0,1738773280.0,1866106380.0,850869200.0,986678550.0,835221695.0
ACRE,,,,,,67594165.0,168176501.0,239903375.0,260462977.0,339103026.0,345745435.0,389208989.0
ACRS,,,,,,,,,164334000.0,581222994.0,693004839.0,411897000.0
ACRX,,,,,33301876.0,94250954.0,449534928.0,298289059.0,171203494.0,117814107.0,94939158.0,169167000.0
ACTG,,,245976034.0,821368039.0,1323098485.0,1102030092.0,644098403.0,781487428.0,212379955.0,325493006.0,205302649.0,150947500.0
ACU,,,,25400344.0,25195744.0,30426878.0,42749860.0,64674645.0,60705151.0,88738046.0,84837708.0,77408640.0
ACV,,,,,,,,,1885480160.0,,,
ACY,,,,28678798.0,9491031.0,22023275.0,27265278.0,13441768.0,19612420.0,14805306.0,22091538.0,20457134.0
ADAP,,,,,,,,,1788926480.0,1705455000.0,3603860000.0,6922503000.0
ADBE,25585655750.0,11678693370.0,19515835800.0,16184862720.0,14245846670.0,18942527280.0,30746429404.0,36966496000.0,47642986160.0,51917582050.0,87816794520.0,123009115620.0
ADC,,,112200122.0,157305959.0,165428682.0,223568065.0,302696031.0,390988800.0,547364106.0,983428380.0,1381042903.0,1620745492.0
ADES,,,,,,144425713.0,470404796.0,434235159.0,176623052.0,177292691.0,192466857.0,218610875.0
ADI,7828205541.0,4331228370.0,7318039324.0,9381440397.0,9222028667.0,11107977935.0,14203764382.0,16127957675.0,16441677436.0,21867263473.0,30747698534.0,31797707150.0
ADM,,14702694915.0,16264922260.0,15926386302.0,16015989282.0,15698999407.0,25295136772.0,30615618214.0,20947979120.0,25597076091.0,22427197308.0,27505170000.0
ADMA,,,,,,,50942026.0,103789663.0,84027301.0,61952000.0,73509000.0,235339000.0
ADMP,,,,,15620555.0,70131806.0,43076108.0,64733653.0,72558088.0,55125000.0,124960000.0,95810000.0
ADMS,,,,,,,,297148590.0,512592000.0,366730000.0,762525000.0,476820000.0
ADNT,,,,,,,,,,5368606094.0,7237411510.0,2878464000.0
ADOM,,,,,,,,,,,292160000.0,36683110.0
ADP,,14072291680.0,15227543320.0,16685293305.0,19858530008.0,21304604554.0,30761161535.0,36782529130.0,36694564343.0,44604045329.0,51214286376.0,62372310000.0
ADRO,,,,,,,,,1255044000.0,742140000.0,546750000.0,480070000.0
ADS,,3361547508.0,3656610290.0,3882106042.0,5888639841.0,9109410301.0,17247966759.0,17511323167.0,16903846388.0,13237680860.0,14062929106.0,11924850000.0
ADSK,,4755300000.0,5917989000.0,8877680000.0,6997131000.0,8126965000.0,11457636300.0,13903890000.0,13727529000.0,16452423000.0,23020668000.0,30559260000.0
ADSW,,,,,,,,,,1543463372.0,2127974219.0,2284495200.0
ADT,,,,,,,,,,,,5881422000.0
ADTN,,814658221.0,1236273389.0,2027918383.0,1746956229.0,1120495034.0,1465978174.0,1122583433.0,837089536.0,1057722357.0,926330553.0,819603220.0
ADUS,,,24904400.0,43484600.0,38384640.0,77084032.0,248633750.0,269736780.0,260479920.0,397782450.0,404480400.0,792790860.0
ADVM,,,,,,,,,,104980000.0,152250000.0,321024000.0
ADXS,,,,18111457.0,38624000.0,9750000.0,21251325.0,137023682.0,281680000.0,253464000.0,114736000.0,41867730.0
ADXSW,,,,18111457.0,38624000.0,9750000.0,21251325.0,137023682.0,281680000.0,253464000.0,114736000.0,41867730.0
AE,,,78203376.0,88240472.0,107999689.0,132589953.0,261796695.0,193778863.0,155370110.0,160420897.0,188543061.0,174203400.0
AEE,6783369761.0,4495066893.0,4219306888.0,4910824909.0,6146372799.0,6013255958.0,7460653564.0,9898132671.0,9632249202.0,12094283424.0,14070402988.0,15674666000.0
AEGN,,,843691182.0,1034960633.0,603815197.0,870352534.0,846982284.0,700694266.0,705866178.0,822720307.0,843028633.0,733691372.0
AEHR,,,,10275600.0,4669600.0,7905000.0,36583.0,29896200.0,24530240.0,38629890.0,62013.0,44652720.0
AEIS,,,632847280.0,592235160.0,471626420.0,544719678.0,929647620.0,972505800.0,1159603710.0,2191697250.0,2711076480.0,1861341000.0
AEL,,,406643527.0,758574586.0,625991763.0,768518922.0,1911662840.0,2268566186.0,1908120552.0,1913512377.0,2775257276.0,3024715903.0
AEMD,,,,,,,,,51716843.0,33600000.0,17176000.0,21678500.0
AEO,,,2420176953.0,2236109072.0,2259331753.0,3434828381.0,2402178094.0,2414734039.0,2811545383.0,2651171556.0,3305019011.0,3766455500.0
AEP,11767475832.0,8857091395.0,11114558942.0,12618950026.0,15333129717.0,16682373205.0,19121690944.0,25926591242.0,25938324794.0,29093039470.0,35249740870.0,34920419815.0
AERI,,,,,,,89005450.0,703089343.0,628230000.0,1101435000.0,2109175000.0,2143815000.0
AES,10810476123.0,4105570475.0,7437127122.0,9183138053.0,8218601951.0,6793463441.0,9181201513.0,8562041722.0,5865685588.0,7119323029.0,6927565346.0,9671160000.0
AET,27630581661.0,12312014710.0,12720747118.0,11552675896.0,14481041299.0,14752389755.0,23162888636.0,30369682075.0,36665354853.0,42675513746.0,59609206766.0,65668174000.0
AETI,,,,17263755.0,39677395.0,41624060.0,94535610.0,45246648.0,17307329.0,12873934.0,12788468.0,6320470.0
AEY,,,20038752.0,31827942.0,21387930.0,20303572.0,26926063.0,24508870.0,18225142.0,17938169.0,15032213.0,13686561.0
AFG,,2008143915.0,2244609299.0,2803977341.0,3041807306.0,3115214652.0,4478521240.0,4855761867.0,5833158475.0,7263609068.0,9524441818.0,9372938000.0
AFH,,,,,,,159577577.0,185094716.0,253440012.0,220623038.0,247933284.0,115817458.0
AFI,,,,,,,,,,554798860.0,458768525.0,446415215.0
AFL,23625115061.0,17057707594.0,17451182310.0,21984760905.0,17167456596.0,21691949418.0,27849834655.0,25358757030.0,24325099826.0,27683776016.0,34424703878.0,34721304480.0
AFSI,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpA,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpB,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpC,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpD,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpE,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AFSIpF,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2835360000.0
AGCO,,2188822305.0,2890131743.0,4637994405.0,4003338951.0,4599633984.0,5627257614.0,4108598124.0,3851716381.0,4654221279.0,5688309222.0,4491200000.0
AGEN,,,50570972.0,97616619.0,39797264.0,96878502.0,78581044.0,237221601.0,354120000.0,357616000.0,322088000.0,201023500.0
AGFS,,,,,,,,,,131074843.0,371415642.0,292207857.0
AGFSW,,,,,,,,,,131074843.0,371415642.0,292207857.0
AGIO,,,,,,,369198183.0,3772053369.0,2428008000.0,1631643000.0,2664122000.0,3786767000.0
AGLE,,,,,,,,,,42630000.0,81691000.0,189420000.0
AGM,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746592900.0
AGM.A,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746592900.0
AGMpA,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746592900.0
AGMpB,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746592900.0
AGMpC,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746592900.0
AGN,8386260000.0,8130420000.0,12120660000.0,15908200000.0,7432819113.0,10752791070.0,23295171622.0,55107055222.0,111998828277.0,78766150075.0,53904396068.0,62519867000.0
AGNC,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7259158000.0
AGNCB,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7259158000.0
AGNCN,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7259158000.0
AGO,,863781992.0,2366664298.0,2830491556.0,2124242690.0,2436281779.0,4056850203.0,4209943932.0,3738907461.0,4888744966.0,4032209125.0,4500393000.0
AGR,,,,,,,,,8793611903.0,11017179993.0,15257829980.0,14315239172.0
AGRX,,,,,,,,69965122.0,214720000.0,160740000.0,83659000.0,23142860.0
AGTC,,,,,,,,345190440.0,372544800.0,171974550.0,65138400.0,118044600.0
AGX,,,,,178073238.0,224502528.0,362433521.0,465997641.0,466112461.0,1070116355.0,701344124.0,662027520.0
AGYS,,,,127390010.0,176076600.0,183303000.0,308372300.0,284534000.0,238761000.0,224812000.0,297176000.0,343945000.0
AHC,,,53491866.0,83500056.0,48821008.0,54285645.0,91016967.0,178353221.0,88135620.0,119635309.0,99054958.0,80278000.0
AHH,,,,,,,224451917.0,267921222.0,234247641.0,437578990.0,631870017.0,681571520.0
AHL,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2482043696.0
AHLpC,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2482043696.0
AHLpD,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2482043696.0
AHPI,,,,34686175.0,27624436.0,21304560.0,18301895.0,14769950.0,8974269.0,8033094.0,8388292.0,8227751.0
AHT,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AHTpD,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AHTpF,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AHTpG,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AHTpH,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AHTpI,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,551980000.0
AI,,,33527536.0,57968439.0,57507477.0,86428110.0,198686283.0,287356387.0,190210189.0,255006672.0,271055336.0,240913400.0
AIG,114159478834.0,3179374732.0,3118808104.0,6052850191.0,38243187909.0,54559753266.0,69551320696.0,75266833773.0,77825470785.0,68575532806.0,54473778711.0,45865286949.0
AIG.WS,114159478834.0,3179374732.0,3118808104.0,6052850191.0,38243187909.0,54559753266.0,69551320696.0,75266833773.0,77825470785.0,68575532806.0,54473778711.0,45865286949.0
AIMC,,,288304698.0,474164923.0,452182456.0,535424096.0,844881594.0,725984046.0,624400274.0,929567155.0,1447801071.0,1131416655.0
AIMT,,,,,,,,,352395000.0,875260000.0,1902346000.0,1520106500.0
AIN,,,480362436.0,563934443.0,605088658.0,633636536.0,1057088661.0,1143621369.0,1126197745.0,1455396370.0,1962285087.0,2279764720.0
AINC,,,,,,,,186214000.0,117309750.0,95294051.0,192231000.0,174716724.0
